,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
121,Ciudad Ojeda,10.2,-71.31,86.49,64,0,3.76,VE,1603314038
122,Hithadhoo,-0.6,73.08,82.35,76,19,15.19,MV,1603314039
123,Marsh Harbour,26.54,-77.06,80.49,76,100,18.54,BS,1603314041
124,Guozhen,34.37,107.36,56.23,39,0,3.83,CN,1603314042
125,Tuktoyaktuk,69.45,-133.04,23.0,85,75,11.41,CA,1603314043
126,Tricase,39.93,18.36,54.82,93,5,5.5,IT,1603314045
127,Coquimbo,-29.95,-71.34,57.2,76,20,12.75,CL,1603313808
128,Tuatapere,-46.13,167.68,54.0,67,90,4.0,NZ,1603314047
129,Saskylakh,71.92,114.08,8.26,94,91,5.23,RU,1603314049
130,Leshukonskoye,64.9,45.76,23.58,98,30,4.9,RU,1603314050
131,Oistins,13.07,-59.53,86.0,70,20,12.75,BB,1603313537
132,Lavrentiya,65.58,-171.0,37.04,85,0,4.99,RU,1603314053
133,Flagstaff,35.2,-111.65,68.85,11,1,10.29,US,1603313943
134,Arraial do Cabo,-22.97,-42.03,77.0,78,40,10.29,BR,1603314056
135,Karligan,14.97,122.05,81.12,84,100,12.62,PH,1603314058
136,Kumul,42.8,93.45,48.74,45,0,5.03,CN,1603314060
138,Progreso,21.28,-89.67,89.6,66,75,5.82,MX,1603313857
139,Sparks,39.53,-119.75,71.58,28,40,5.82,US,1603313796
140,Ellisville,38.59,-90.59,55.35,93,90,4.7,US,1603314065
141,Port Alfred,-33.59,26.89,64.24,84,0,12.17,ZA,1603314067
142,Nikolskoye,59.7,30.79,36.77,93,90,8.95,RU,1603314068
143,Bethel,41.37,-73.41,67.14,82,90,8.05,US,1603314065
144,Bardejov,49.29,21.27,45.64,88,100,6.24,SK,1603314071
145,Plettenberg Bay,-34.05,23.37,59.9,77,0,4.03,ZA,1603314073
146,Hobyo,5.35,48.53,79.54,85,31,19.3,SO,1603314075
147,Vestmannaeyjar,63.44,-20.27,41.77,78,97,25.01,IS,1603314077
148,Mahébourg,-20.41,57.7,75.2,73,75,10.29,MU,1603314078
149,Kaeo,-35.1,173.78,62.01,94,100,1.01,NZ,1603314079
150,Port Hardy,50.7,-127.42,50.0,61,20,11.41,CA,1603314080
151,Buarcos,40.17,-8.88,58.32,87,20,4.7,PT,1603314082
152,Virginia Beach,36.85,-75.98,76.53,65,75,8.05,US,1603313568
153,Yerbogachën,61.28,108.01,18.36,97,79,4.85,RU,1603314084
154,Vila Franca do Campo,37.72,-25.43,60.8,72,75,10.29,PT,1603314083
155,Mbaïki,3.87,17.99,69.91,96,87,0.74,CF,1603314089
